"Type","Status","Last Updated","Nationality","2017","2018","2019","2020","2021","2022","2023","2024"
"Citizenship","Received","31/08/2024","Afghanistan","84","101","95","116","158","263","286","80"
"Citizenship","Received","31/08/2024","Åland Islands","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Albania","54","63","50","71","61","105","144","37"
"Citizenship","Received","31/08/2024","Algeria","54","70","51","68","61","80","99","29"
"Citizenship","Received","31/08/2024","American Samoa","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Andorra","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Angola","38","25","23","15","24","24","25","10"
"Citizenship","Received","31/08/2024","Anguilla","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Antarctica","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Antigua and Barbuda","0","*","0","*","*","0","7","0"
"Citizenship","Received","31/08/2024","Argentina","23","22","31","28","32","36","49","28"
"Citizenship","Received","31/08/2024","Armenia","14","10","7","14","10","9","14","7"
"Citizenship","Received","31/08/2024","Aruba","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Australia","50","56","67","74","72","83","97","50"
"Citizenship","Received","31/08/2024","Austria","*","*","4","*","4","*","10","*"
"Citizenship","Received","31/08/2024","Azerbaijan","*","9","6","6","4","7","14","*"
"Citizenship","Received","31/08/2024","Bahamas (the)","0","0","0","0","0","*","*","*"
"Citizenship","Received","31/08/2024","Bahrain","5","0","0","0","*","4","5","*"
"Citizenship","Received","31/08/2024","Bangladesh","155","129","155","185","196","241","215","60"
"Citizenship","Received","31/08/2024","Barbados","0","*","*","0","*","*","*","*"
"Citizenship","Received","31/08/2024","Belarus","43","40","27","22","32","54","44","18"
"Citizenship","Received","31/08/2024","Belgium","6","6","7","8","6","*","5","8"
"Citizenship","Received","31/08/2024","Belize","0","*","*","*","0","*","0","0"
"Citizenship","Received","31/08/2024","Benin","*","5","7","*","4","0","5","0"
"Citizenship","Received","31/08/2024","Bermuda","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Bhutan","5","0","*","5","*","8","*","0"
"Citizenship","Received","31/08/2024","Bolivia (Plurinational State of)","*","*","4","9","4","16","21","8"
"Citizenship","Received","31/08/2024","Bonaire, Sint Eustatius and Saba","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Bosnia and Herzegovina","14","12","*","7","8","12","16","10"
"Citizenship","Received","31/08/2024","Botswana","*","11","11","17","8","13","22","12"
"Citizenship","Received","31/08/2024","Bouvet Island","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Brazil","338","407","419","412","494","824","1389","713"
"Citizenship","Received","31/08/2024","Brunei Darussalam","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Bulgaria","67","99","104","71","54","83","115","54"
"Citizenship","Received","31/08/2024","Burkina Faso","0","*","*","*","*","*","0","0"
"Citizenship","Received","31/08/2024","Burundi","6","4","5","7","5","14","12","*"
"Citizenship","Received","31/08/2024","Cabo Verde","*","0","0","0","*","0","4","0"
"Citizenship","Received","31/08/2024","Cambodia","*","*","*","*","*","0","7","0"
"Citizenship","Received","31/08/2024","Cameroon","55","60","60","54","40","51","57","23"
"Citizenship","Received","31/08/2024","Canada","44","56","56","53","46","92","121","57"
"Citizenship","Received","31/08/2024","Cayman Islands (the)","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Central African Republic (the)","*","*","*","0","0","*","0","0"
"Citizenship","Received","31/08/2024","Ceuta","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Chad","0","*","*","0","*","*","0","*"
"Citizenship","Received","31/08/2024","Chile","4","4","6","8","7","12","18","11"
"Citizenship","Received","31/08/2024","China","314","346","335","345","301","712","994","340"
"Citizenship","Received","31/08/2024","Christmas Island","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Cocos (Keeling) Islands (the)","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Colombia","19","20","16","21","21","27","38","11"
"Citizenship","Received","31/08/2024","Comoros (the)","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Congo (the Democratic Republic of the)","129","105","120","101","109","177","187","78"
"Citizenship","Received","31/08/2024","Congo (the)","9","6","10","5","9","12","8","*"
"Citizenship","Received","31/08/2024","Cook Islands (the)","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Costa Rica","0","*","*","0","*","5","6","4"
"Citizenship","Received","31/08/2024","Côte d'Ivoire","12","17","20","11","6","12","16","5"
"Citizenship","Received","31/08/2024","Croatia","18","30","36","91","100","114","145","78"
"Citizenship","Received","31/08/2024","Cuba","6","11","5","*","7","11","7","*"
"Citizenship","Received","31/08/2024","Curaçao","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Cyprus","0","*","0","*","5","*","15","*"
"Citizenship","Received","31/08/2024","Czechia","35","35","27","26","24","29","35","22"
"Citizenship","Received","31/08/2024","Denmark","*","*","4","0","*","7","6","*"
"Citizenship","Received","31/08/2024","Djibouti","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Dominica","*","0","0","*","0","0","0","*"
"Citizenship","Received","31/08/2024","Dominican Republic (the)","6","5","*","*","*","8","*","*"
"Citizenship","Received","31/08/2024","Ecuador","5","*","0","5","*","*","6","*"
"Citizenship","Received","31/08/2024","Egypt","150","115","116","140","184","330","439","184"
"Citizenship","Received","31/08/2024","El Salvador","0","*","4","*","5","9","9","5"
"Citizenship","Received","31/08/2024","Equatorial Guinea","0","0","0","0","0","*","0","0"
"Citizenship","Received","31/08/2024","Eritrea","12","9","10","14","11","35","21","15"
"Citizenship","Received","31/08/2024","Estonia","34","27","24","19","6","20","24","8"
"Citizenship","Received","31/08/2024","Eswatini","4","5","*","5","7","4","5","*"
"Citizenship","Received","31/08/2024","Ethiopia","18","21","19","11","25","33","40","14"
"Citizenship","Received","31/08/2024","Falkland Islands (the) [Malvinas]","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Faroe Islands (the)","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Fiji","*","*","0","*","*","0","*","*"
"Citizenship","Received","31/08/2024","Finland","*","*","4","*","*","5","5","4"
"Citizenship","Received","31/08/2024","France","41","36","34","40","44","58","92","57"
"Citizenship","Received","31/08/2024","French Guiana","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","French Polynesia","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Gabon","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Gambia (the)","5","6","4","*","0","6","7","4"
"Citizenship","Received","31/08/2024","Georgia","44","37","40","45","53","63","108","50"
"Citizenship","Received","31/08/2024","Germany","49","42","39","38","38","46","74","58"
"Citizenship","Received","31/08/2024","Ghana","58","99","56","58","67","81","104","23"
